"iata","airport"
"SPT","Sipitang Airstrip"
"SPU","Split Airport"
"SPV","Sepik Plains Airport"
"SPW","Spencer Municipal Airport"
"SPX","Sphinx International Airport"
"SPY","San Pedro Airport"
"SPZ","Springdale Municipal Airport"
"SQA","Santa Ynez Airport"
"SQC","Southern Cross Airport"
"SQD","Shangrao Sanqingshan Airport"
"SQE","San Luis de Palenque Airport"
"SQG","Sintang Airport (Susilo Airport)"
"SQH","Na San Airport"
"SQI","Whiteside County Airport (Jos. H. Bittorf Field)"
"SQJ","Sanming Shaxian Airport"
"SQK","Sidi Barrani Airport"
"SQL","San Carlos Airport"
"SQM","Sao Miguel do Araguaia Airport"
"SQN","Sanana Airport"
"SQO","Storuman Airport"
"SQQ","Siauliai International Airport"
"SQR","Soroako Airport"
"SQS","Matthew Spain Airport"
"SQT","China Strait Airstrip"
"SQU","Saposoa Airport"
"SQV","Sequim Valley Airport"
"SQW","Skive Airport"
"SQX","Helio Wasum Airport"
"SQY","Sao Lourenco do Sul Airport"
"SQZ","RAF Scampton"
"SRA","Santa Rosa Airport (Brazil)"
"SRB","Santa Rosa Airport (Bolivia)"
"SRC","Searcy Municipal Airport"
"SRD","San Ramon Airport"
"SRE","Juana Azurduy de Padilla International Airport"
"SRF","San Rafael Airport (Hamilton Field)"
"SRG","Achmad Yani International Airport"
"SRH","Sarh Airport"
"SRJ","Capitan German Quiroga Guardia Airport"
"SRL","Palo Verde Airport"
"SRM","Sandringham Station Airport"
"SRN","Strahan Airport"
"SRO","Santana Ramos Airport"
"SRP","Stord Airport"
"SRQ","Sarasota-Bradenton International Airport"
"SRR","Dunwich Airport"
"SRS","San Marcos Airport"
"SRT","Soroti Airport"
"SRV","Stony River Airport"
"SRW","Rowan County Airport"
"SRX","Gardabya Airport"
"SRY","Dasht-e Naz Airport"
"SRZ","El Trompillo Airport"
"SSA","Deputado Luis Eduardo Magalhaes International Airport"
"SSB","Christiansted Harbor Seaplane Base (St. Croix Seaplane Base)"
"SSC","Shaw Air Force Base"
"SSD","San Felipe Airport"
"SSE","Solapur Airport"
"SSF","Stinson Municipal Airport"
"SSG","Malabo International Airport (Saint Isabel Airport)"
"SSH","Sharm el-Sheikh International Airport"
"SSI","Malcolm McKinnon Airport"
"SSJ","Sandnessjoen Airport"
"SSK","Sturt Creek Airport"
"SSL","Santa Rosalia Airport"
"SSO","Sao Lourenco Airport"
"SSP","Silver Plains Airport"
"SSQ","La Sarre Airport"
"SSR","Sara Airport"
"SSS","Siassi Airport"
"SST","Santa Teresita Airport"
"SSV","Siasi Airport"
"SSW","Stuart Island Airpark"
"SSY","Mbanza Congo Airport"
"SSZ","Santos Air Force Base"
"STA","Stauning Vestjylland Airport"
"STB","Miguel Urdaneta Fernandez Airport"
"STC","St. Cloud Regional Airport"
"STD","Mayor Buenaventura Vivas Airport"
"STE","Stevens Point Municipal Airport"
"STF","Stephens Island Airport"
"STG","St. George Airport"
"STH","Strathmore Airport"
"STI","Cibao International Airport"
"STJ","Rosecrans Memorial Airport"
"STK","Sterling Municipal Airport"
"STL","Lambert-St. Louis International Airport"
"STM","Santarem-Maestro Wilson Fonseca Airport"
"STN","London Stansted Airport"
"STP","St. Paul Downtown Airport (Holman Field)"
"STQ","St. Marys Municipal Airport"
"STR","Stuttgart Airport"
"STS","Charles M. Schulz-Sonoma County A"
"STT","Cyril E. King Airport"
"STV","Surat Airport"
"STW","Stavropol Shpakovskoye Airport"
"STX","Henry E. Rohlsen Airport"
"STY","Nueva Hesperides International Airport"
"STZ","Santa Terezinha Airport"
"SUA","Witham Field"
"SUB","Juanda International Airport"
"SUD","Stroud Municipal Airport"
"SUE","Door County Cherryland Airport"
"SUF","Lamezia Terme International Airport"
"SUG","Surigao Airport"
"SUH","Sur Airport"
"SUI","Sukhumi Babushara Airport (Dranda Airport)"
"SUJ","Satu Mare International Airport"
"SUK","Sakkyryr Airport"
"SUL","Sui Airport"
"SUM","Sumter Airport"
"SUN","Friedman Memorial Airport"
"SUO","Sunriver Airport"
"SUP","Trunojoyo Airport"
"SUQ","Sucua Airport"
"SUR","Summer Beaver Airport"
"SUS","Spirit of St. Louis Airport"
"SUT","Sumbawanga Airport"
"SUU","Travis Air Force Base"
"SUV","Nausori International Airport"
"SUW","Richard I. Bong Airport"
"SUX","Sioux Gateway Airport (Colonel Bud Day Field)"
"SUY","Suntar Airport"
"SUZ","Suria Airport"
"SVA","Savoonga Airport"
"SVB","Sambava Airport"
"SVC","Grant County Airport"
"SVD","Argyle International Airport"
"SVE","Susanville Municipal Airport"
"SVF","Save Airport"
"SVG","Stavanger Airport"
"SVH","Statesville Regional Airport"
"SVI","Eduardo Falla Solano Airport"
"SVJ","Svolvaer Airport"
"SVK","Silver Creek Airport"
"SVL","Savonlinna Airport"
"SVM","St Pauls Mission Airport"
"SVN","Hunter Army Airfield"
"SVO","Sheremetyevo Alexander S. Pushkin International Airport"
"SVP","Kuito Airport"
"SVQ","Seville Airport"
"SVS","Stevens Village Airport"
"SVT","Savuti Airport"
"SVU","Savusavu Airport"
"SVW","Sparrevohn LRRS Airport"
"SVX","Koltsovo International Airport"
"SVY","Savo Airport"
"SVZ","Juan Vicente Gomez International Airport"
"SWA","Jieyang Chaoshan International Airport"
"SWB","Shaw River Airport"
"SWC","Stawell Airport"
"SWD","Seward Airport"
"SWE","Siwea Airport"
"SWF","New York Stewart International Airport"
"SWG","Satwag Airport"
"SWH","Swan Hill Airport"
"SWJ","South West Bay Airport"
"SWL","San Vicente Airport"
"SWM","Suia-Missu Airport"
"SWO","Stillwater Regional Airport"
"SWP","Swakopmund Airport"
"SWQ","Sultan Muhammad Kaharuddin III Airport (Brangbiji Airport)"
"SWR","Silur Airport"
"SWS","Swansea Airport"
"SWT","Strezhevoy Airport"
"SWU","Suwon Air Base"
"SWV","Severo-Evensk Airport"
"SWW","Avenger Field"
"SWX","Shakawe Airport"
"SWY","Sitiawan Airport"
"SXA","Sialum Airport"
"SXB","Strasbourg Airport"
"SXE","West Sale Airport"
"SXG","Senanga Airport"
"SXH","Sehulea Airport"
"SXI","Sirri Island Airport"
"SXJ","Shanshan Airport"
"SXK","Saumlaki Airport (Olilit Airport)"
"SXL","Sligo Airport"
"SXM","Princess Juliana International Airport"
"SXN","Sua Pan Airport"
"SXO","Sao Felix do Araguaia"
"SXP","Sheldon Point Airport"
"SXQ","Soldotna Airport"
"SXR","Sheikh ul Alam International Airport"
"SXS","Sahabat Airport"
"SXT","Sungai Tiang Airport"
"SXU","Soddu Airport"
"SXV","Salem Airport"
"SXW","Sauren Airport"
"SXX","Sao Felix do Xingu Airport"
"SXY","Sidney Municipal Airport"
"SXZ","Siirt Airport"
"SYA","Eareckson Air Station"
"SYB","Seal Bay Seaplane Base"
"SYC","Shiringayoc Airport"
"SYD","Sydney Airport (Kingsford Smith Airport)"
"SYE","Saadah Airport"
"SYF","Silva Bay Seaplane Base"
"SYH","Syangboche Airport"
"SYI","Shelbyville Municipal Airport (Bomar Field)"
"SYJ","Sirjan Airport"
"SYK","Stykkisholmur Airport"
"SYM","Pu'er Simao Airport"
"SYN","Stanton Airfield"
"SYO","Shonai Airport"
"SYP","Ruben Cantu Airport"
"SYQ","Tobias Bolanos International Airport"
"SYR","Syracuse Hancock International Airport"
"SYS","Saskylakh Airport"
"SYT","Saint-Yan Airport (Charolais Bourgogne Sud Airport)"
"SYU","Warraber Island Airport"
"SYV","Sylvester Airport"
"SYW","Sehwan Sharif Airport"
"SYX","Sanya Phoenix International Airport"
"SYY","Stornoway Airport"
"SYZ","Shiraz International Airport (Shahid Dastghaib Int'l)"
"SZA","Soyo Airport"
"SZB","Sultan Abdul Aziz Shah Airport"
"SZE","Semera Airport"
"SZF","Samsun-Carsamba Airport"
"SZG","Salzburg Airport"
"SZI","Zaysan Airport"
"SZJ","Siguanea Airport"
"SZK","Skukuza Airport"
"SZL","Whiteman Air Force Base"
"SZM","Sesriem Airport"
"SZN","Santa Cruz Island Airport"
"SZP","Santa Paula Airport"
"SZR","Stara Zagora Airport"
"SZS","Ryan's Creek Aerodrome"
"SZU","Segou Airport"
"SZV","Suzhou Guangfu Airport"
"SZW","Schwerin-Parchim International Airport"
"SZX","Shenzhen Bao'an International Airport"
"SZY","Olsztyn-Mazury Regional Airport"
"SZZ","Solidarity Szczecin-Goleniow Airport"
"TAA","Tarapaina Airport"
"TAB","Arthur Napoleon Raymond Robinson International Airport"
"TAC","Daniel Z. Romualdez Airport"
"TAD","Perry Stokes Airport"
"TAE","Daegu International Airport"
"TAF","Oran Tafaraoui Airport"
"TAG","Tagbilaran Airport"
"TAH","Whitegrass Airport"
"TAI","Taiz International Airport"
"TAJ","Tadji Airport"
"TAK","Takamatsu Airport"
"TAL","Ralph M. Calhoun Memorial Airport"
"TAM","General Francisco Javier Mina International Airport"
"TAN","Tangalooma Airport"
"TAO","Qingdao Liuting International Airport"
"TAP","Tapachula International Airport"
"TAQ","Tarcoola Airport"
"TAR","Taranto-Grottaglie Airport"
"TAS","Tashkent International Airport"
"TAT","Poprad-Tatry Airport"
"TAU","Tauramena Airport"
"TAV","Tau Airport"
"TAW","Tacuarembo Airport"
"TAX","Taliabu Airport"
"TAY","Tartu Airport"
"TAZ","Dasoguz Airport"
"TBA","Tabibuga Airport"
"TBB","Dong Tac Airport"
"TBC","Tuba City Airport"
"TBD","Timbiqui Airport"
"TBE","Timbunke Airport"
"TBF","Tabiteuea North Airport"
"TBG","Tabubil Airport"
"TBH","Tugdan Airport"
"TBI","New Bight Airport"
"TBJ","Tabarka-Ain Draham Internation"
"TBK","Timber Creek Airport"
"TBL","Tableland Homestead Airport"
"TBM","Tumbang Samba Airport"
"TBN","Waynesville-St. Robert Regional Airport (Forney Field)"
"TBO","Tabora Airport"
"TBP","Cap. FAP Pedro Canga Rodriguez Airport"
"TBQ","Tarabo Airport"
"TBR","Statesboro-Bulloch County Airport"
"TBS","Tbilisi International Airport"
"TBT","Tabatinga International Airport"
"TBU","Fua'amotu International Airport"
"TBV","Tabal Airport"
"TBW","Tambov Donskoye Airport"
"TBY","Tshabong Airport"
"TBZ","Tabriz International Airport"
"TCA","Tennant Creek Airport"
"TCB","Treasure Cay Airport"
"TCC","Tucumcari Municipal Airport"
"TCD","Tarapaca Airport"
"TCE","Tulcea Danube Delta Airport"
"TCF","Tocoa Airport"
"TCG","Tacheng Airport"
"TCH","Tchibanga Airport"
"TCJ","Torembi Airport"
"TCK","Tinboli Airport"
"TCL","Tuscaloosa Regional Airport"
"TCM","McChord Field"
"TCN","Tehuacan Airport"
"TCO","La Florida Airport"
"TCP","Taba International Airport"
"TCQ","Coronel FAP Carlos Ciriani Santa Rosa International Airport"
"TCR","Tuticorin Airport"
"TCS","Truth or Consequences Municipal Airport"
"TCT","Takotna Airport"
"TCU","Thaba Nchu Airport"
"TCW","Tocumwal Airport"
"TCX","Tabas Airport"
"TCY","Terrace Bay Airport"
"TCZ","Tengchong Tuofeng Airport"
"TDA","Trinidad Airport"
"TDB","Tetebedi Airport"
"TDD","Teniente Jorge Henrich Arauz Airport"
"TDG","Tandag Airport"
"TDJ","Tadjoura Airport"
"TDK","Taldykorgan Airport"
"TDL","Tandil Airport"
"TDN","Theda Station Airport"
"TDO","South Lewis County Airport (Ed Carlson Memorial Field)"
"TDP","Trompeteros Airport"
"TDR","Theodore Airport"
"TDS","Sasereme Airport"
"TDT","Tanda Tula Airport"
"TDV","Samangoky Airport"
"TDW","Tradewind Airport"
"TDX","Trat Airport"
"TDZ","Toledo Executive Airport"
"TEA","Tela Airport"
"TEB","Teterboro Airport"
"TEC","Telemaco Borba Airport"
"TED","Thisted Airport"
"TEE","Cheikh Larbi Tebessi Airport"
"TEF","Telfer Airport"
"TEG","Tenkodogo Airport"
"TEH","Tetlin Airport"
"TEI","Tezu Airport"
"TEK","Tatitlek Airport"
"TEL","Telupid Airport"
"TEM","Temora Airport"
"TEN","Tongren Fenghuang Airport"
"TEO","Terapo Airport"
"TEP","Teptep Airport"
"TEQ","Tekirdag Corlu Airport"
"TER","Lajes Field"
"TES","Teseney Airport"
"TET","Chingozi Airport"
"TEU","Te Anau Airport (Manapouri Airport)"
"TEV","Teruel Airport"
"TEX","Telluride Regional Airport"
"TEY","Thingeyri Airport"
"TEZ","Tezpur Airport"
"TFB","Tifalmin Airport"
"TFF","Tefe Airport"
"TFI","Tufi Airport"
"TFL","Teofilo Otoni Airport (Juscelino Kubitscheck Airport)"
"TFM","Telefomin Airport"
"TFR","Wadi al Jandali Airport"
"TFT","Taftan Airport"
"TFU","Chengdu Tianfu International Airport"
"TGA","Tengah Air Base"
"TGB","Tagbita Airport"
"TGC","Tanjung Manis Airport"
"TGD","Podgorica Airport"
"TGE","Sharpe Field"
"TGG","Sultan Mahmud Airport"
"TGH","Tongoa Airport"
"TGI","Tingo Maria Airport"
"TGJ","Tiga Airport"
"TGK","Taganrog Airport"
"TGL","Tagula Airport"
"TGM","Targu Mures International Airport"
"TGN","Latrobe Regional Airport"
"TGO","Tongliao Airport"
"TGP","Podkamennaya Tunguska Airport"
"TGQ","Tangara da Serra Airport"
"TGR","Sidi Mahdi Airport"
"TGS","Chokwe Airport"
"TGT","Tanga Airport"
"TGU","Toncontin International Airport"
"TGV","Targovishte Airport (Buhovtsi Airfield)"
"TGZ","Angel Albino Corzo International Airport"
"THA","Tullahoma Regional Airport (William Northern Field)"
"THB","Thaba Tseka Airport"
"THC","Tchien Airport"
"THD","Tho Xuan Airport"
"THE","Teresina-Senador Petronio Portel Airport"
"THG","Thangool Airport"
"THH","Taharoa Aerodrome"
"THI","Tichitt Airport"
"THK","Thakhek Airport"
"THL","Tachilek Airport"
"THM","Thompson Falls Airport"
"THN","Trollhattan-Vanersborg Airport"
"THO","Thorshofn Airport"
"THP","Hot Springs County-Thermopolis Municipal Airport"
"THQ","Tianshui Maijishan Airport"
"THR","Mehrabad International Airport"
"THS","Sukhothai Airport"
"THT","Tamchakett Airport"
"THU","Pituffik Space Base"
"THV","York Airport"
"THW","Trincomalee Harbour Seaplane Base"
"THX","Turukhansk Airport"
"THY","P.R. Mphephu Airport"
"THZ","Tahoua Airport"
"TIA","Tirana International Airport"
"TIB","Tibu Airport"
"TIC","Tinak Airport"
"TID","Abdelhafid Boussouf Bou Chekif Airport"
"TIE","Tippi Airport"
"TIF","Ta'if Regional Airport"
"TIG","Tingwon Airport"
"TIH","Tikehau Airport"
"TII","Tarinkot Airport"
"TIJ","Tijuana International Airport"
"TIK","Tinker Air Force Base"
"TIL","Cheadle Airport"
"TIM","Mozes Kilangin Airport"
"TIN","Tindouf Airport"
"TIO","Tilin Airport"
"TIP","Tripoli International Airport"
"TIQ","Tinian International Airport (West Tinian Airport)"
"TIR","Tirupati Airport"
"TIU","Richard Pearse Airport"
"TIV","Tivat Airport"
"TIW","Tacoma Narrows Airport"
"TIX","Space Coast Regional Airport"
"TIY","Tidjikja Airport"
"TIZ","Tari Airport"
"TJA","Capitan Oriel Lea Plaza Airport"
"TJB","Sei Bati Airport"
"TJC","Ticantiqui Airport"
"TJG","Warukin Airport"
"TJH","Tajima Airport"
"TJI","Trujillo Airport (Capiro Airport)"
"TJK","Tokat Airport"
"TJL","Plinio Alarcom Airport"
"TJM","Roshchino International Airport"
"TJN","Takume Airport"
"TJQ","H.A.S. Hanandjoeddin Airport (Buluh Tumbang Airport)"
"TJS","Tanjung Harapan Airport"
"TJU","Kulob Airport"
"TJV","Thanjavur Air Force Station"
"TKA","Talkeetna Airport"
"TKB","Tekadu Airport"
"TKC","Tiko Airport"
"TKD","Takoradi Airport"
"TKE","Tenakee Seaplane Base"
"TKF","Truckee Tahoe Airport"
"TKG","Radin Inten II Airport"
"TKH","Takhli Royal Thai Air Force Base"
"TKI","Tokeen Seaplane Base"
"TKJ","Tok Junction Airport"
"TKK","Chuuk International Airport"
"TKL","Taku Lodge Seaplane Base"
"TKN","Tokunoshima Airport"
"TKO","Tlokoeng Airport"
"TKP","Takapoto Airport"
"TKQ","Kigoma Airport"
"TKR","Thakurgaon Airport"
"TKS","Tokushima Airport"
"TKT","Tak Airport"
"TKU","Turku Airport"
"TKV","Tatakoto Airport"
"TKW","Tekin Airport"
"TKX","Takaroa Airport"
"TKY","Turkey Creek Airport"
"TKZ","Tokoroa Aerodrome"
"TLA","Teller Airport"
"TLB","Tarbela Dam Airport"
"TLC","Licenciado Adolfo Lopez Mateos International Airport"
"TLD","Tuli Lodge Airport"
"TLE","Toliara Airport"
"TLF","Telida Airport"
"TLG","Tulaghi Heliport"
"TLH","Tallahassee International Airport"
"TLI","Sultan Bantilan Airport (Lalos Airport)"
"TLJ","Tatalina LRRS Airport"
"TLK","Talakan Airport"
"TLL","Tallinn Airport (Lennart Meri Tallinn Airport)"
"TLM","Zenata - Messali El Hadj Airport"
"TLN","Toulon-Hyeres Airport (Hyeres Le Palyvestre Airport)"
"TLO","Tol Airport"
"TLP","Tumolbil Airport"
"TLQ","Turpan Jiaohe Airport"
"TLR","Mefford Field Airport"
"TLS","Toulouse-Blagnac Airport"
"TLT","Tuluksak Airport"
"TLU","Golfo de Morrosquillo Airport"
"TLV","Ben Gurion Airport"
"TLW","Talasea Airport"
"TLX","Panguilemo Airport"
"TLY","Plastun Airport"
"TLZ","Catalao Airport"
"TMA","Henry Tift Myers Airport"
"TMB","Miami Executive Airport"
"TMC","Tambolaka Airport (Waikabubak Airport)"
"TMD","Timbedra Airport"
"TME","Gabriel Vargas Santos Airport"
"TMF","Thimarafushi Airport"
"TMG","Tommanggong Airport"
"TMH","Tanah Merah Airport"
"TMI","Tumlingtar Airport"
"TMJ","Termez Airport"
"TMK","Tam Ky Airport"
"TML","Tamale Airport"
"TMM","Toamasina Airport"
"TMN","Tamana Airport"
"TMO","Tumeremo Airport"
"TMP","Tampere-Pirkkala Airport"
"TMQ","Tambao Airport"
"TMR","Aguenar -Hadj Bey Akhamok Airport"
"TMS","Sao Tome International Airport"
"TMT","Porto Trombetas Airport"
"TMU","Tambor Airport"
"TMW","Tamworth Regional Airport"
"TMX","Timimoun Airport"
"TMY","Tiom Airport"
"TMZ","Thames Aerodrome"
"TNA","Jinan Yaoqiang International Airport"
"TNB","Tanah Grogot Airport"
"TNC","Tin City LRRS Airport"
"TND","Alberto Delgado Airport"
"TNE","New Tanegashima Airport"
"TNF","Toussus-le-Noble Airport"
"TNG","Tangier Ibn Battouta Airport"
"TNH","Tonghua Sanyuanpu Airport"
"TNI","Satna Airport"
"TNJ","Raja Haji Fisabilillah Airport"
"TNK","Tununak Airport"
"TNL","Ternopil International Airport"
"TNM","Teniente R. Marsh Airport"
"TNN","Tainan Airport"
"TNO","Tamarindo Airport"
"TNP","Twentynine Palms Airport"
"TNQ","Teraina Airport"
"TNR","Ivato International Airport"
"TNS","Tungsten (Cantung) Airport"
"TNT","Dade-Collier Training and Transition Airport"
"TNU","Newton Municipal Airport"
"TNV","Tabuaeran Island Airport"
"TNW","Jumandy Airport"
"TNX","Steung Treng Airport"
"TNZ","Tosontsengel Airport"
"TOA","Zamperini Field"
"TOB","Tobruk Airport"
"TOC","Toccoa Airport (R.G. LeTourneau Field)"
"TOD","Tioman Airport"
"TOE","Tozeur-Nefta International Airport"
"TOF","Bogashevo Airport"
"TOG","Togiak Airport"
"TOH","Torres Airport"
"TOI","Troy Municipal Airport"
"TOJ","Madrid-Torrejon Airport"
"TOK","Torokina Airport"
"TOL","Toledo Express Airport"
"TOM","Timbuktu Airport"
"TON","Tonu Airport"
"TOO","San Vito de Java Airport"
"TOP","Philip Billard Municipal Airport"
"TOQ","Barriles Airport"
"TOR","Torrington Municipal Airport"
"TOS","Tromse Airport"
"TOT","Totness Airstrip"
"TOU","Touho Airport"
"TOV","West End Seaplane Base"
"TOW","Luiz dal Canalle Filho Airport"
"TOX","Tobolsk Airport"
"TOY","Toyama Airport"
"TOZ","Mahana Airport"
"TPA","Tampa International Airport"
"TPC","Tarapoa Airport"
"TPE","Taiwan Taoyuan International Airport"
"TPF","Peter O. Knight Airport"
"TPG","Taiping Airport"
"TPH","Tonopah Airport"
"TPI","Tapini Airport"
"TPJ","Taplejung Airport"
"TPK","Teuku Cut Ali Airport"
"TPL","Draughon-Miller Central Texas Regional Airport"
"TPN","Tiputini Airport"
"TPP","Cad. FAP Guillermo del Castillo Paredes Airport"
"TPQ","Amado Nervo International Airport"
"TPR","Tom Price Airport"
"TPS","Vincenzo Florio Airport"
"TPT","Tapeta Airport"
"TPU","Tikapur Airport"
"TPX","Tupai Airport"
"TQD","Al-Taqaddum Air Base"
"TQL","Tarko-Sale Airport"
"TQN","Taloqan Airport"
"TQP","Trepell Airport"
"TQQ","WA44","Maranggo Airport"
"TQS","Captain Ernesto Esguerra Cubides Air Base"
"TRA","Tarama Airport"
"TRB","Gonzalo Mejia Airport"
"TRC","Francisco Sarabia International Airport"
"TRD","Trondheim Airport"
"TRE","Tiree Airport"
"TRF","Sandefjord Airport"
"TRG","Tauranga Airport"
"TRH","Trona Airport"
"TRI","Tri-Cities Regional Airport"
"TRJ","Tarakbits Airport"
"TRK","Juwata International Airport"
"TRL","Terrell Municipal Airport"
"TRM","Jacqueline Cochran Regional Airport"
"TRN","Turin Airport (Caselle Airport)"
"TRO","Taree Airport"
"TRQ","Jose Galera dos Santos Airport"
"TRR","China Bay Airport"
"TRS","Trieste - Friuli Venezia Giulia Airport"
"TRU","FAP Captain Carlos Martinez de Pinillos International Airport"
"TRV","Trivandrum International Airport"
"TRW","Bonriki International Airport"
"TRX","Trenton Municipal Airport"
"TRY","Tororo Airport"
"TRZ","Tiruchirappalli International Airport"
"TSA","Taipei Songshan Airport"
"TSB","Tsumeb Airport"
"TSC","Taisha Airport"
"TSD","Tshipise Airport"
"TSF","Treviso-Sant'Angelo Airport"
"TSG","Tanacross Airport"
"TSH","Tshikapa Airport"
"TSI","Tsile Tsile Airport"
"TSJ","Tsushima Airport"
"TSK","Taskul Airport"
"TSL","Tamuin National Airport"
"TSM","Taos Regional Airport"
"TSN","Tianjin Binhai International Airport"
"TSP","Tehachapi Municipal Airport"
"TSQ","Torres Airport"
"TSR","Timisoara Traian Vuia International Airport"
"TST","Trang Airport"
"TSU","Tabiteuea South Airport"
"TSV","Townsville Airport"
"TSW","Tsewi Airport"
"TSX","Tanjung Santan Airport"
"TSY","Tasikmalaya Airport"
"TSZ","Tsetserleg Airport"
"TTA","Tan Tan Airport (Plage Blanche Airport)"
"TTB","Tortoli Airport (Arbatax Airport)"
"TTC","Las Breas Airport"
"TTD","Portland-Troutdale Airport"
"TTE","Sultan Babullah Airport"
"TTG","Tartagal Airport"
"TTH","RAFO Thumrait"
"TTI","Tetiaroa Airport"
"TTJ","Tottori Airport"
"TTL","Turtle Island Seaplane Base"
"TTM","Tablon de Tamara Airport"
"TTN","Trenton-Mercer Airport"
"TTO","Britton Municipal Airport"
"TTQ","Tortuguero Airport (Barra de Tortuguero Airport)"
"TTR","Pongtiku Airport"
"TTS","Tsaratanana Airport"
"TTT","Taitung Airport (Taitung Fongnian Airport)"
"TTU","Sania Ramel Airport"
"TTW","Tissa Tank Waterdrome"
"TTX","Truscott-Mungalalu Airport"
"TUA","Teniente Coronel Luis a Mantilla International Airport"
"TUB","Tubuai - Mataura Airport"
"TUC","Teniente General Benjamin Matienzo International Airport"
"TUD","Tambacounda Airport"
"TUF","Tours Val de Loire Airport"
"TUG","Tuguegarao Airport"
"TUI","Turaif Domestic Airport"
"TUJ","Tum Airport"
"TUK","Turbat International Airport"
"TUL","Tulsa International Airport"
"TUM","Tumut Airport"
"TUN","Tunis–Carthage International Airport"
"TUO","Taupo Airport"
"TUP","Tupelo Regional Airport"
"TUQ","Tougan Airport"
"TUR","Tucurui Airport"
"TUS","Tucson International Airport"
"TUT","Tauta Airport"
"TUU","Tabuk Regional Airport"
"TUV","San Rafael Airport"
"TUW","Tubala Airport"
"TUX","Tumbler Ridge Airport"
"TUY","Tulum Airport"
"TUZ","Tucuma Airport"
"TVA","Morafenobe Airport"
"TVC","Cherry Capital Airport"
"TVF","Thief River Falls Regional Airport"
"TVI","Thomasville Regional Airport"
"TVL","Lake Tahoe Airport"
"TVS","Tangshan Sannuhe Airport"
"TVU","Matei Airport"
"TVY","Dawei Airport"
"TWA","Twin Hills Airport"
"TWB","Toowoomba City Aerodrome"
"TWD","Jefferson County International Airport"
"TWE","Taylor Airport"
"TWF","Magic Valley Regional Airport (Joslin Field)"
"TWN","Tewantin Airport"
"TWP","Torwood Airport"
"TWT","Sanga-Sanga Airport"
"TWU","Tawau Airport"
"TWY","Tawa Airport"
"TWZ","Pukaki Airport"
"TXF","Teixeira de Freitas Airport (9 de maio Airport)"
"TXK","Texarkana Regional Airport (Webb Field)"
"TXL","Berlin Tegel Airport"
"TXM","Teminabuan Airport"
"TXN","Huangshan Tunxi International Airport"
"TXR","Tanbar Airport"
"TXU","Tabou Airport"
"TYA","Klokovo Airport"
"TYB","Tibooburra Airport"
"TYD","Tynda Airport"
"TYE","Tyonek Airport"
"TYF","Torsby Airport"
"TYG","Thylungra Airport"
"TYL","Capitan FAP VIctor Montes Arias International Airport"
"TYM","Staniel Cay Airport"
"TYN","Taiyuan Wusu International Airport"
"TYP","Tobermorey Airport"
"TYR","Tyler Pounds Regional Airport"
"TYS","McGhee Tyson Airport"
"TYT","Treinta y Tres Airport"
"TYZ","Taylor Airport"
"TZA","Belize City Municipal Airport"
"TZC","Tuscola Area Airport"
"TZL","Tuzla International Airport"
"TZM","Cupul National Airport"
"TZN","South Andros Airport"
"TZO","Tsimiroro Airport"
"TZX","Trabzon Airport"
"UAB","Incirlik Air Base"
"UAC","San Luis Rio Colorado Airport"
"UAE","Mount Aue Airport"
"UAH","Ua Huka Airport"
"UAI","Suai Airport"
"UAK","Narsarsuaq Airport"
"UAL","Luau Airport"
"UAM","Andersen Air Force Base"
"UAP","Ua Pou Airport"
"UAQ","Domingo Faustino Sarmiento Airport"
"UAR","Bouarfa Airport"
"UAS","Samburu Airport (Buffalo Spring Airport)"
"UAX","Uaxactun Airport"
"UBA","Mario de Almeida Franco Airport"
"UBB","Mabuiag Island Airport"
"UBI","Buin Airport"
"UBJ","Yamaguchi Ube Airport"
"UBN","Chinggis Khaan International Airport"
"UBP","Ubon Ratchathani Airport"
"UBR","Ubrub Airport"
"UBS","Columbus-Lowndes County Airport"
"UBT","Ubatuba Airport"
"UBU","Kalumburu Airport"
"UCB","Ulanqab Airport"
"UCC","Yucca Airstrip"
"UCE","Eunice Airport"
"UCK","Lutsk Airport"
"UCN","Buchanan Airport"
"UCT","Ukhta Airport"
"UCY","Everett-Stewart Regional Airport"
"UDA","Undara Airport"
"UDD","Bermuda Dunes Airport"
"UDE","Volkel Air Base"
"UDI","Ten. Cel. Av. Cesar Bombonato Airport"
"UDJ","Uzhhorod International Airport"
"UDN","Campoformido Airport"
"UDR","Maharana Pratap Airport"
"UEE","Queenstown Airport"
"UEL","Quelimane Airport"
"UEN","Urengoy Airport"
"UEO","Kumejima Airport"
"UES","Waukesha County Airport (Crites Field)"
"UET","Quetta International Airport"
"UFA","Ufa International Airport"
"UGA","Bulgan Airport"
"UGB","Ugashik Bay Airport"
"UGC","Urgench International Airport"
"UGI","San Juan (Uganik) Seaplane Base"
"UGN","Waukegan National Airport"
"UGO","Uige Airport"
"UGS","Ugashik Airport"
"UGT","Bulagtai Airport"
"UGU","Bilogai Airport"
"UHE","Kunovice Airport"
"UIB","El Carano Airport"
"UIH","Phu Cat Airport"
"UII","Utila Airport"
"UIK","Ust-Ilimsk Airport"
"UIL","Quillayute Airport"
"UIN","Quincy Regional Airport (Baldwin Field)"
"UIO","Mariscal Sucre International Airport"
"UIP","Quimper-Cornouaille Airport"
"UIQ","Quoin Hill Airfield"
"UIR","Quirindi Airport"
