"iata","airport"
"BFF","Western Nebraska Regional Airport (William B. Heilig Field)"
"BFG","Bullfrog Basin Airport"
"BFH","Bacacheri Airport"
"BFI","Boeing Field/King County International Airport"
"BFJ","Bijie Feixiong Airport"
"BFK","Buckley Air Force Base"
"BFL","Meadows Field Airport"
"BFM","Mobile Downtown Airport"
"BFN","Bloemfontein Airport"
"BFO","Buffalo Range Airport"
"BFP","Beaver County Airport"
"BFQ","Bahia Pina Airport"
"BFR","Virgil I. Grissom Municipal Airport"
"BFS","Belfast International Airport"
"BFT","Beaufort County Airport"
"BFU","Bengbu Airport"
"BFV","Buriram Airport"
"BFW","Sidi Bel Abbes Airport"
"BFX","Bafoussam Airport"
"BGA","Palonegro International Airport"
"BGB","Booue Airport"
"BGC","Braganca Airport"
"BGD","Hutchinson County Airport"
"BGE","Decatur County Industrial Air Park"
"BGF","Bangui M'Poko International Airport"
"BGG","Bingol Airport"
"BGH","Abbaye Airport"
"BGI","Grantley Adams International Airport"
"BGJ","Borgarfjorour Eystri Airport"
"BGK","Big Creek Airport"
"BGL","Balewa Airport"
"BGM","Greater Binghamton Airport (Edwin A. Link Field)"
"BGN","Belaya Gora Airport"
"BGO","Bergen Airport"
"BGP","Bongo Airport"
"BGQ","Big Lake Airport"
"BGR","Bangor International Airport"
"BGT","Bagdad Airport"
"BGU","Bangassou Airport"
"BGV","Bento Goncalves Airport"
"BGW","Baghdad International Airport"
"BGX","Comandante Gustavo Kraemer Airport"
"BGY","Milan Bergamo Airport"
"BGZ","Braga Airport"
"BHA","Los Perales Airport"
"BHB","Hancock County-Bar Harbor Airport"
"BHD","George Best Belfast City Airport"
"BHE","Woodbourne Airport"
"BHF","Bahia Cupica Airport"
"BHG","Brus Laguna Airport"
"BHH","Bisha Domestic Airport"
"BHI","Comandante Espora Airport"
"BHJ","Bhuj Airport / Bhuj Rudra Mata Air Force Base"
"BHK","Bukhara International Airport"
"BHL","Bahia de los Angeles Airport"
"BHM","Birmingham-Shuttlesworth International Airport"
"BHN","Beihan Airport"
"BHO","Raja Bhoj Airport"
"BHP","Bhojpur Airport"
"BHQ","Broken Hill Airport"
"BHR","Bharatpur Airport"
"BHS","Bathurst Airport"
"BHT","Brighton Downs Airport"
"BHU","Bhavnagar Airport"
"BHV","Bahawalpur Airport"
"BHW","Bhagatanwala Airport"
"BHX","Birmingham Airport"
"BHY","Beihai Fucheng Airport"
"BIA","Bastia - Poretta Airport"
"BIB","Baidoa Airport"
"BID","Block Island State Airport"
"BIE","Beatrice Municipal Airport"
"BIF","Biggs Army Airfield"
"BIG","Allen Army Airfield"
"BIH","Eastern Sierra Regional Airport"
"BII","Bikini Atoll Airport"
"BIJ","Biliau Airport"
"BIK","Frans Kaisiepo Airport"
"BIL","Billings Logan International Airport"
"BIM","South Bimini Airport"
"BIN","Bamyan Airport"
"BIO","Bilbao Airport"
"BIP","Bulimba Airport"
"BIQ","Biarritz Pays Basque Airport"
"BIR","Biratnagar Airport"
"BIS","Bismarck Municipal Airport"
